UniProtIds,Genes,ProteinGroups,ProteinNames,ProteinDescriptions,Valid,Comparison (group1/group2),Condition Numerator,Condition Denominator,# of Ratios,Group,AVG Group Quantity Denominator,AVG Group Quantity Numerator,AVG Log2 Ratio,Absolute AVG Log2 Ratio,% Change,Ratio,Standard Deviation,Pvalue,Qvalue,Degrees Of Freedom,Standard Error,Organisms,Protein Coverage,Molecular Weight,GO Biological Process,GO Molecular Function,GO Cellular Component,Database,Protein Existence,Sequence Version,FASTAName,FASTAHeader,# Unique Total Peptides,# Unique Total EG.Id
P60228,EIF3E,P60228,EIF3E_HUMAN,Eukaryotic translation initiation factor 3 subunit E,TRUE,M / MaN,M,MaN,70,P60228,180.971389770507,238.880661010742,0.40,0.40,32.00,1.32,0,1.19E-01,2.12E-01,69,0.252084919023274,Homo sapiens,0%,52220.81,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,formation of translation preinitiation complex,translational initiation,regulation of translational initiation,negative regulation of translational initiation,cell-cell adhesion","translation initiation factor activity,protein binding,poly(A) RNA binding,protein N-terminus binding,cadherin binding involved in cell-cell adhesion","nucleus,nucleoplasm,cytoplasm,cytosol,eukaryotic translation initiation factor 3 complex,cell-cell adherens junction,membrane,eukaryotic 43S preinitiation complex,eukaryotic 48S preinitiation complex,extracellular exosome,chromatin,PML body",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P60228|EIF3E_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=1 SV=1,33,66
P60468,SEC61B,P60468,SC61B_HUMAN,Protein transport protein Sec61 subunit beta,TRUE,M / MaN,M,MaN,5,P60468,14.1350173950195,21.1626167297363,0.58,0.58,49.72,1.50,0,3.86E-01,4.22E-01,4,0.625850940094686,Homo sapiens,0%,9974.45,"protein import into nucleus, translocation,ER-associated ubiquitin-dependent protein catabolic process,retrograde protein transport, ER to cytosol,IRE1-mediated unfolded protein response","protein binding,poly(A) RNA binding,epidermal growth factor binding","endoplasmic reticulum,Sec61 translocon complex,endoplasmic reticulum membrane,cytosol,membrane,integral component of membrane,endoplasmic reticulum Sec complex",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P60468|SC61B_HUMAN Protein transport protein Sec61 subunit beta OS=Homo sapiens GN=SEC61B PE=1 SV=2,4,6
P60660,MYL6,P60660,MYL6_HUMAN,Myosin light polypeptide 6,TRUE,M / MaN,M,MaN,65,P60660,642.171813964843,963.623474121093,0.59,0.59,50.06,1.50,0,1.83E-01,2.80E-01,64,0.267625941457551,Homo sapiens,10.60%,16930.05,"muscle contraction,skeletal muscle tissue development,muscle filament sliding","motor activity,calcium ion binding,structural constituent of muscle,actin-dependent ATPase activity","cytosol,brush border,membrane,myosin complex,unconventional myosin complex,extracellular matrix,vesicle,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P60660|MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2,14,29
P60709;P63261,ACTB;ACTG1,P60709;P63261,ACTB_HUMAN;ACTG_HUMAN,"Actin, cytoplasmic 1;Actin, cytoplasmic 2",TRUE,M / MaN,M,MaN,240,P60709;P63261,14686.4169921875,32928.046875,1.16,1.16,124.21,2.24,0,6.96E-04,5.80E-03,239,0.155146321312574,Homo sapiens,8.3%;8.3%,41736.73;41792.84,"retina homeostasis,movement of cell or subcellular component,cytoskeleton organization,substantia nigra development,cell junction assembly,Fc-gamma receptor signaling pathway involved in phagocytosis,ATP-dependent chromatin remodeling,positive regulation of gene expression, epigenetic,vascular endothelial growth factor receptor signaling pathway,ephrin receptor signaling pathway,platelet aggregation;retina homeostasis,movement of cell or subcellular component,cell junction assembly,Fc-gamma receptor signaling pathway involved in phagocytosis,sarcomere organization,vascular endothelial growth factor receptor signaling pathway,ephrin receptor signaling pathway,platelet aggregation","structural constituent of cytoskeleton,protein binding,ATP binding,kinesin binding,Tat protein binding,identical protein binding,nitric-oxide synthase binding,RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,nucleosomal DNA binding;structural constituent of cytoskeleton,protein binding,ATP binding,ubiquitin protein ligase binding","nuclear chromatin,extracellular space,nucleoplasm,cytoplasm,cytosol,cytoskeleton,plasma membrane,focal adhesion,membrane,intracellular ribonucleoprotein complex,cortical cytoskeleton,NuA4 histone acetyltransferase complex,cytoplasmic ribonucleoprotein granule,myelin sheath,protein complex,extracellular exosome,MLL5-L complex,blood microparticle,dense body;extracellular space,nucleus,cytosol,cytoskeleton,plasma membrane,focal adhesion,membrane,myofibril,extracellular matrix,filamentous actin,myelin sheath,extracellular exosome,blood microparticle,dense body",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,">sp|P60709|ACTB_HUMAN Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1;>sp|P63261|ACTG_HUMAN Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1",12,56
P60842,EIF4A1,P60842,IF4A1_HUMAN,Eukaryotic initiation factor 4A-I,TRUE,M / MaN,M,MaN,160,P60842,1476.64343261718,3082.51318359375,1.06,1.06,108.75,2.09,0,5.88E-01,5.19E-01,159,0.193666122632327,Homo sapiens,13.30%,46153.93,"nuclear-transcribed mRNA poly(A) tail shortening,translational initiation,regulation of translational initiation,regulation of gene expression,RNA secondary structure unwinding,viral process","RNA cap binding,double-stranded RNA binding,mRNA binding,translation initiation factor activity,ATP-dependent RNA helicase activity,helicase activity,protein binding,ATP binding,translation factor activity, RNA binding,poly(A) RNA binding","cytoplasm,cytosol,membrane,eukaryotic translation initiation factor 4F complex,extracellular matrix,extracellular exosome,nucleus",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P60842|IF4A1_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1,39,86
P60866,RPS20,P60866,RS20_HUMAN,40S ribosomal protein S20,TRUE,M / MaN,M,MaN,15,P60866,21.2038459777832,44.5358734130859,1.07,1.07,110.04,2.10,0,4.67E-02,1.16E-01,14,0.680209515134158,Homo sapiens,0%,13372.71,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,rRNA processing,translation,translational initiation,SRP-dependent cotranslational protein targeting to membrane,viral transcription","structural constituent of ribosome,poly(A) RNA binding","nucleoplasm,cytoplasm,cytosol,membrane,cytosolic small ribosomal subunit,extracellular matrix,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P60866|RS20_HUMAN 40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1,5,10
P60903,S100A10,P60903,S10AA_HUMAN,Protein S100-A10,TRUE,M / MaN,M,MaN,30,P60903,5279.849609375,520.132385253906,-3.34,3.34,-90.15,0.10,0,7.22E-03,3.45E-02,29,0.311346077104363,Homo sapiens,27.80%,11203.1,"membrane raft assembly,membrane budding,positive regulation of GTPase activity,positive regulation of binding,protein heterotetramerization,positive regulation of stress fiber assembly,positive regulation of focal adhesion assembly,establishment of protein localization to plasma membrane,positive regulation of substrate adhesion-dependent cell spreading","calcium ion binding,protein binding,protein homodimerization activity,ion channel binding,lipid binding","extrinsic component of plasma membrane,extracellular exosome,membrane raft",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P60903|S10AA_HUMAN Protein S100-A10 OS=Homo sapiens GN=S100A10 PE=1 SV=2,12,32
P60953,CDC42,P60953,CDC42_HUMAN,Cell division control protein 42 homolog,TRUE,M / MaN,M,MaN,30,P60953,339.201385498046,225.898513793945,-0.59,0.59,-33.40,0.67,0,5.13E-01,4.85E-01,29,0.534206555874291,Homo sapiens,0%,21258.6,"sprouting angiogenesis,cardiac conduction system development,keratinocyte development,Golgi organization,regulation of mitotic nuclear division,nuclear migration,establishment or maintenance of cell polarity,small GTPase mediated signal transduction,blood coagulation,positive regulation of gene expression,negative regulation of gene expression,protein ubiquitination,substantia nigra development,actin cytoskeleton organization,macrophage differentiation,positive regulation of cell growth,hair follicle morphogenesis,positive regulation of pseudopodium assembly,T cell costimulation,negative regulation of protein complex assembly,keratinization,regulation of protein stability,positive regulation of cytokinesis,positive regulation of peptidyl-serine phosphorylation,adherens junction organization,cellular protein localization,establishment or maintenance of apical/basal cell polarity,multicellular organism growth,dendritic cell migration,Fc-gamma receptor signaling pathway involved in phagocytosis,viral RNA genome replication,negative regulation of epidermal growth factor receptor signaling pathway,regulation of protein catabolic process,regulation of protein heterodimerization activity,positive regulation of neuron apoptotic process,positive regulation of phosphatidylinositol 3-kinase activity,positive regulation of DNA replication,regulation of protein kinase activity,positive regulation of JNK cascade,filopodium assembly,vascular endothelial growth factor receptor signaling pathway,ephrin receptor signaling pathway,neuron fate determination,actin filament bundle assembly,regulation of small GTPase mediated signal transduction,positive regulation of muscle cell differentiation,regulation of filopodium assembly,establishment of Golgi localization,positive regulation of synapse structural plasticity,regulation of attachment of spindle microtubules to kinetochore,heart contraction,canonical Wnt signaling pathway,Wnt signaling pathway, planar cell polarity pathway,positive regulation of epithelial cell proliferation involved in lung morphogenesis,submandibular salivary gland formation,epithelial-mesenchymal cell signaling,hair follicle placode formation,positive regulation of hair follicle cell proliferation,organelle transport along microtubule,actin filament branching,epithelial cell-cell adhesion,positive regulation of intracellular protein transport,positive regulation of substrate adhesion-dependent cell spreading","GTPase activity,protein binding,GTP binding,protein kinase binding,GTP-dependent protein binding,mitogen-activated protein kinase kinase kinase binding,thioesterase binding,apolipoprotein A-I receptor binding,Rho GDP-dissociation inhibitor binding,ubiquitin protein ligase activity","Golgi membrane,storage vacuole,cytoplasm,endoplasmic reticulum membrane,microtubule organizing center,cytosol,plasma membrane,cell-cell junction,focal adhesion,membrane,secretory granule,filopodium,midbody,leading edge membrane,cytoplasmic ribonucleoprotein granule,neuron projection,neuronal cell body,myelin sheath,apical part of cell,spindle midzone,extracellular exosome,mitotic spindle",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P60953|CDC42_HUMAN Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2,20,29
P60981,DSTN,P60981,DEST_HUMAN,Destrin,TRUE,M / MaN,M,MaN,20,P60981,399.626434326171,300.457550048828,-0.41,0.41,-24.82,0.75,0,1.52E-01,2.47E-01,19,0.605893943302642,Homo sapiens,12.70%,18505.72,"actin polymerization or depolymerization,actin filament depolymerization,positive regulation of actin filament depolymerization,actin filament severing","protein binding,actin filament binding","actin cytoskeleton,cortical actin cytoskeleton,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|P60981|DEST_HUMAN Destrin OS=Homo sapiens GN=DSTN PE=1 SV=3,22,34
P61006,RAB8A,P61006,RAB8A_HUMAN,Ras-related protein Rab-8A,TRUE,M / MaN,M,MaN,30,P61006,479.538543701171,1076.53259277343,1.17,1.17,124.49,2.24,0,4.94E-02,1.21E-01,29,0.409863205605065,Homo sapiens,0%,23668.2,"G2/M transition of mitotic cell cycle,vesicle docking involved in exocytosis,small GTPase mediated signal transduction,axonogenesis,protein secretion,cellular response to insulin stimulus,cilium assembly,regulation of long-term neuronal synaptic plasticity,Golgi vesicle fusion to target membrane,regulation of protein transport,membrane organization,protein localization to plasma membrane","GTPase activity,protein binding,GTP binding,Rab GTPase binding,GDP binding,protein kinase binding,myosin V binding","Golgi membrane,nucleus,nucleolus,centrosome,centriole,cytosol,plasma membrane,cilium,synaptic vesicle,postsynaptic density,trans-Golgi network transport vesicle,dendrite,cytoplasmic vesicle membrane,phagocytic vesicle membrane,extracellular matrix,ciliary basal body,neuronal cell body,phagocytic vesicle,recycling endosome membrane,extracellular exosome,ciliary base",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61006|RAB8A_HUMAN Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=1 SV=1,9,14
P61009,SPCS3,P61009,SPCS3_HUMAN,Signal peptidase complex subunit 3,TRUE,M / MaN,M,MaN,10,P61009,53.3083915710449,91.7185134887695,0.78,0.78,72.05,1.72,0,8.75E-01,6.23E-01,9,0.497961856739187,Homo sapiens,0%,20313.4,"signal peptide processing,proteolysis",peptidase activity,"endoplasmic reticulum,signal peptidase complex,endoplasmic reticulum membrane,integral component of membrane,organelle membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61009|SPCS3_HUMAN Signal peptidase complex subunit 3 OS=Homo sapiens GN=SPCS3 PE=1 SV=1,3,4
P61011,SRP54,P61011,SRP54_HUMAN,Signal recognition particle 54 kDa protein,TRUE,M / MaN,M,MaN,25,P61011,71.7530670166015,49.5458717346191,-0.53,0.53,-30.95,0.69,0,4.54E-01,4.54E-01,24,0.336937885965548,Homo sapiens,0%,55704.71,"SRP-dependent cotranslational protein targeting to membrane,SRP-dependent cotranslational protein targeting to membrane, translocation,SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition,response to drug,protein targeting to ER","protein binding,GTP binding,drug binding,7S RNA binding,GDP binding,endoplasmic reticulum signal peptide binding,ribonucleoprotein complex binding,poly(A) RNA binding,GTPase activity","nucleus,nucleolus,cytoplasm,signal recognition particle, endoplasmic reticulum targeting,cytosol,nuclear speck",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61011|SRP54_HUMAN Signal recognition particle 54 kDa protein OS=Homo sapiens GN=SRP54 PE=1 SV=1,26,29
P61019,RAB2A,P61019,RAB2A_HUMAN,Ras-related protein Rab-2A,TRUE,M / MaN,M,MaN,30,P61019,133.879501342773,142.392349243164,0.09,0.09,6.36,1.06,0,2.54E-01,3.37E-01,29,0.33274849671194,Homo sapiens,0%,23545.55,"Golgi organization,small GTPase mediated signal transduction,protein transport,ER to Golgi vesicle-mediated transport","GTPase activity,protein binding,GTP binding,GDP binding","Golgi membrane,nucleus,lysosomal membrane,endoplasmic reticulum membrane,endoplasmic reticulum-Golgi intermediate compartment membrane,melanosome,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61019|RAB2A_HUMAN Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1,17,32
P61026,RAB10,P61026,RAB10_HUMAN,Ras-related protein Rab-10,TRUE,M / MaN,M,MaN,25,P61026,332.816040039062,160.948837280273,-1.05,1.05,-51.64,0.48,0,4.98E-02,1.22E-01,24,0.420352256546455,Homo sapiens,5.50%,22540.93,"Golgi to plasma membrane transport,small GTPase mediated signal transduction,axonogenesis,vesicle-mediated transport,endosomal transport,antigen processing and presentation,polarized epithelial cell differentiation,cellular response to insulin stimulus,Golgi to plasma membrane protein transport,establishment of neuroblast polarity,membrane organization,basolateral protein localization,endoplasmic reticulum tubular network organization,protein localization to plasma membrane,establishment of protein localization to membrane,establishment of protein localization to endoplasmic reticulum membrane,cell-cell adhesion","GTPase activity,GTP binding,GDP binding,myosin V binding,cadherin binding involved in cell-cell adhesion","Golgi membrane,endosome,endoplasmic reticulum membrane,Golgi apparatus,trans-Golgi network,cell-cell junction,cell-cell adherens junction,focal adhesion,cilium,cytoplasmic vesicle membrane,phagocytic vesicle membrane,insulin-responsive compartment,recycling endosome,recycling endosome membrane,extracellular exosome,endoplasmic reticulum tubular network,exocyst,plasma membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61026|RAB10_HUMAN Ras-related protein Rab-10 OS=Homo sapiens GN=RAB10 PE=1 SV=1,14,19
P61077;P62837,UBE2D3;UBE2D2,P61077;P62837,UB2D3_HUMAN;UB2D2_HUMAN,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,TRUE,M / MaN,M,MaN,10,P61077;P62837,97.3200302124023,43.3507499694824,-1.17,1.17,-55.46,0.45,0,9.51E-01,6.38E-01,9,0.86785029899697,Homo sapiens,0%;0%,16687.16;16735.25,"negative regulation of transcription from RNA polymerase II promoter,protein polyubiquitination,DNA repair,cellular protein modification process,ubiquitin-dependent protein catabolic process,protein monoubiquitination,apoptotic process,protein ubiquitination,BMP signaling pathway,TRIF-dependent toll-like receptor signaling pathway,proteasome-mediated ubiquitin-dependent protein catabolic process,protein autoubiquitination,regulation of transcription from RNA polymerase II promoter in response to hypoxia,protein K48-linked ubiquitination,protein K11-linked ubiquitination,positive regulation of protein targeting to mitochondrion;protein polyubiquitination,stimulatory C-type lectin receptor signaling pathway,cellular protein modification process,ubiquitin-dependent protein catabolic process,protein ubiquitination,TRIF-dependent toll-like receptor signaling pathway,Fc-epsilon receptor signaling pathway,T cell receptor signaling pathway,protein autoubiquitination,regulation of transcription from RNA polymerase II promoter in response to hypoxia,protein K48-linked ubiquitination","ubiquitin-protein transferase activity,protein binding,ATP binding,ubiquitin conjugating enzyme activity;ubiquitin-protein transferase activity,protein binding,ATP binding,ubiquitin conjugating enzyme activity","nucleoplasm,cytosol,plasma membrane,endosome membrane,extracellular exosome;ubiquitin ligase complex,nucleoplasm,cytosol,protein complex,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61077|UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens GN=UBE2D3 PE=1 SV=1;>sp|P62837|UB2D2_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens GN=UBE2D2 PE=1 SV=1,2,4
P61081,UBE2M,P61081,UBC12_HUMAN,NEDD8-conjugating enzyme Ubc12,TRUE,M / MaN,M,MaN,5,P61081,22.7503185272216,27.8314590454101,0.29,0.29,22.33,1.22,0,6.33E-01,5.33E-01,4,0.659591993586138,Homo sapiens,0%,20899.97,"cellular protein modification process,transforming growth factor beta receptor signaling pathway,protein ubiquitination,NIK/NF-kappaB signaling,positive regulation of neuron apoptotic process,protein neddylation","ubiquitin-protein transferase activity,protein binding,ATP binding,ribosomal S6-glutamic acid ligase activity,NEDD8 transferase activity,ubiquitin protein ligase binding,ubiquitin protein ligase activity","cytoplasm,cytosol,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61081|UBC12_HUMAN NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens GN=UBE2M PE=1 SV=1,10,11
P61086,UBE2K,P61086,UBE2K_HUMAN,Ubiquitin-conjugating enzyme E2 K,TRUE,M / MaN,M,MaN,10,P61086,37.5567550659179,28.8483352661132,-0.38,0.38,-23.19,0.77,0,9.32E-01,6.33E-01,9,0.87038342261605,Homo sapiens,0%,22406.65,"ubiquitin-dependent protein catabolic process,positive regulation of peptidyl-threonine phosphorylation,free ubiquitin chain polymerization,regulation of proteasomal ubiquitin-dependent protein catabolic process,cellular response to interferon-beta,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of type I interferon-mediated signaling pathway,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,protein K48-linked ubiquitination","ubiquitin-protein transferase activity,protein binding,ATP binding,ubiquitin protein ligase binding,ubiquitin-ubiquitin ligase activity","nucleus,cytoplasm,filopodium tip,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|P61086|UBE2K_HUMAN Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens GN=UBE2K PE=1 SV=3,16,27
P61088,UBE2N,P61088,UBE2N_HUMAN,Ubiquitin-conjugating enzyme E2 N,TRUE,M / MaN,M,MaN,10,P61088,9.14515304565429,21.3644618988037,1.22,1.22,133.62,2.34,0,2.30E-02,7.62E-02,9,0.396730010933443,Homo sapiens,0%,17137.82,"double-strand break repair via homologous recombination,DNA double-strand break processing,stimulatory C-type lectin receptor signaling pathway,regulation of DNA repair,postreplication repair,double-strand break repair via nonhomologous end joining,cellular protein modification process,proteolysis,ubiquitin-dependent protein catabolic process,protein ubiquitination,histone ubiquitination,positive regulation of histone modification,regulation of histone ubiquitination,Fc-epsilon receptor signaling pathway,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of DNA repair,T cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,positive regulation of ubiquitin-protein transferase activity,nucleotide-binding oligomerization domain containing signaling pathway,protein K63-linked ubiquitination,global genome nucleotide-excision repair","ubiquitin-protein transferase activity,protein binding,ATP binding,ubiquitin protein ligase binding,ubiquitin binding,poly(A) RNA binding,ubiquitin protein ligase activity,ubiquitin conjugating enzyme activity","ubiquitin ligase complex,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,UBC13-MMS2 complex,UBC13-UEV1A complex,protein complex,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61088|UBE2N_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1,15,23
P61106,RAB14,P61106,RAB14_HUMAN,Ras-related protein Rab-14,TRUE,M / MaN,M,MaN,20,P61106,1532.46484375,96.3519821166992,-3.99,3.99,-93.71,0.06,0,3.39E-01,3.91E-01,19,0.588488626283418,Homo sapiens,0%,23896.94,"Golgi to endosome transport,small GTPase mediated signal transduction,fibroblast growth factor receptor signaling pathway,embryo development,protein transport,vesicle-mediated transport,endocytic recycling,regulation of protein localization,defense response to bacterium,intracellular transport,membrane organization,phagolysosome assembly involved in apoptotic cell clearance","GTPase activity,protein binding,GTP binding,GDP binding,myosin V binding","Golgi membrane,intracellular,lysosome,lysosomal membrane,early endosome,late endosome,rough endoplasmic reticulum,Golgi apparatus,Golgi stack,trans-Golgi network,cytosol,plasma membrane,trans-Golgi network transport vesicle,cytoplasmic vesicle membrane,early endosome membrane,nuclear outer membrane-endoplasmic reticulum membrane network,intracellular membrane-bounded organelle,phagocytic vesicle,perinuclear region of cytoplasm,recycling endosome,extracellular exosome",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|P61106|RAB14_HUMAN Ras-related protein Rab-14 OS=Homo sapiens GN=RAB14 PE=1 SV=4,21,36
P61158,ACTR3,P61158,ARP3_HUMAN,Actin-related protein 3,TRUE,M / MaN,M,MaN,90,P61158,356.372741699218,238.611694335937,-0.58,0.58,-33.04,0.67,0,1.75E-01,2.72E-01,89,0.20214094147787,Homo sapiens,0%,47371.17,"movement of cell or subcellular component,establishment or maintenance of cell polarity,asymmetric cell division,meiotic chromosome movement towards spindle pole,meiotic cytokinesis,Arp2/3 complex-mediated actin nucleation,Fc-gamma receptor signaling pathway involved in phagocytosis,ephrin receptor signaling pathway,spindle localization,cilium morphogenesis","structural constituent of cytoskeleton,ATP binding,actin filament binding","cytosol,Arp2/3 protein complex,brush border,cell-cell junction,focal adhesion,actin cytoskeleton,membrane,lamellipodium,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|P61158|ARP3_HUMAN Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3,34,61
P61160,ACTR2,P61160,ARP2_HUMAN,Actin-related protein 2,TRUE,M / MaN,M,MaN,25,P61160,92.6095886230468,108.372680664062,0.23,0.23,17.02,1.17,0,7.44E-01,5.80E-01,24,0.422472716827926,Homo sapiens,0%,44760.78,"movement of cell or subcellular component,establishment or maintenance of cell polarity,asymmetric cell division,meiotic chromosome movement towards spindle pole,cytosolic transport,meiotic cytokinesis,Arp2/3 complex-mediated actin nucleation,Fc-gamma receptor signaling pathway involved in phagocytosis,cilium assembly,ephrin receptor signaling pathway,spindle localization","structural constituent of cytoskeleton,ATP binding,actin filament binding","cytoplasm,cytosol,Arp2/3 protein complex,focal adhesion,actin cytoskeleton,membrane,actin cap,cell projection,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61160|ARP2_HUMAN Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1,23,52
P61204;P84077,ARF3;ARF1,P61204;P84077,ARF3_HUMAN;ARF1_HUMAN,ADP-ribosylation factor 3;ADP-ribosylation factor 1,TRUE,M / MaN,M,MaN,70,P61204;P84077,704.434936523437,1497.21533203125,1.09,1.09,112.54,2.13,0,2.16E-01,3.06E-01,69,0.255191164379407,Homo sapiens,6.1%;6.1%,20600.76;20696.76,"phosphatidylinositol biosynthetic process,retrograde vesicle-mediated transport, Golgi to ER,small GTPase mediated signal transduction,protein transport;regulation of receptor internalization,phosphatidylinositol biosynthetic process,cellular copper ion homeostasis,post-Golgi vesicle-mediated transport,actin filament organization,small GTPase mediated signal transduction,protein transport,antigen processing and presentation of exogenous peptide antigen via MHC class II,regulation of Arp2/3 complex-mediated actin nucleation,very-low-density lipoprotein particle assembly,positive regulation of catalytic activity,positive regulation of endocytosis,positive regulation of calcium ion-dependent exocytosis,regulation of defense response to virus by virus,positive regulation of protein secretion,Golgi to transport vesicle transport,long term synaptic depression,positive regulation of dendritic spine development,synaptic vesicle budding,dendritic spine organization,lysosomal membrane organization,positive regulation of sodium ion transmembrane transport,positive regulation of late endosome to lysosome transport,positive regulation of ER to Golgi vesicle-mediated transport,regulation of phospholipid metabolic process","GTPase activity,GTP binding;magnesium ion binding,GTPase activity,receptor signaling protein activity,protein binding,GTP binding,GDP binding,poly(A) RNA binding,phospholipase D activator activity","Golgi membrane,perinuclear region of cytoplasm,extracellular exosome;Golgi membrane,late endosome,peroxisomal membrane,trans-Golgi network,cytosol,plasma membrane,focal adhesion,postsynaptic density,sarcomere,COPI-coated vesicle,cell leading edge,neuron projection,postsynaptic membrane,perinuclear region of cytoplasm,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2;>sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2,8,20
P61221,ABCE1,P61221,ABCE1_HUMAN,ATP-binding cassette sub-family E member 1,TRUE,M / MaN,M,MaN,25,P61221,162.588760375976,172.139358520507,0.08,0.08,5.87,1.06,0,8.77E-01,6.23E-01,24,0.362620221474482,Homo sapiens,0%,67314.33,"ribosomal subunit export from nucleus,translational initiation,translational termination,viral process,transmembrane transport,negative regulation of endoribonuclease activity","iron ion binding,protein binding,ATP binding,ATPase activity,ribosomal small subunit binding,endoribonuclease inhibitor activity","cytoplasm,mitochondrion,mitochondrial matrix,membrane,eukaryotic translation initiation factor 3 complex",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1,42,67
P61224,RAP1B,P61224,RAP1B_HUMAN,Ras-related protein Rap-1b,TRUE,M / MaN,M,MaN,35,P61224,315.3193359375,256.803497314453,-0.30,0.30,-18.56,0.81,0,5.08E-01,4.83E-01,34,0.306841632943323,Homo sapiens,0%,20824.78,"cell proliferation,response to carbohydrate,Rap protein signal transduction,cellular response to drug,establishment of endothelial barrier,positive regulation of ERK1 and ERK2 cascade,cellular response to cAMP,cellular response to gonadotropin-releasing hormone,regulation of cell junction assembly,regulation of establishment of cell polarity,negative regulation of synaptic vesicle exocytosis,microvillus assembly","GTPase activity,protein binding,GTP binding,GDP binding,protein complex binding","intracellular,lipid particle,cytosol,plasma membrane,cell-cell junction,membrane,extracellular exosome,membrane raft",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P61224|RAP1B_HUMAN Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1,18,32
